year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,index,averagemwh
2020,19.26499,19.2086,19.45115,18.60662,18.2634,17.82462,18.39772,18.18403,17.49177,17.1816,17.1816,17.04868,16.43709,16.42715,16.17123,15.96465,15.43257,15.43257,15.43257,15.70368,16.31331,16.61574,16.65414,17.15588,17.7318,18.71765,19.44481,20.12599,20.13639,20.39064,21.18552,21.75993,22.22686,23.18344,23.22602,23.41446,24.07372,23.97193,24.23788,23.97193,24.01731,24.69212,24.44313,24.12626,23.99572,24.50426,24.39514,24.48635,24.51592,24.43491,24.1771,24.09929,24.20342,24.95472,25.25079,24.82072,24.88577,24.92675,24.86314,25.27377,25.20238,25.38658,25.38658,25.38658,24.87224,24.69212,24.32047,24.19723,24.27033,24.6664,24.6664,24.83848,24.58923,24.54167,23.74044,23.63397,22.99453,22.73191,22.00902,21.41282,20.6897,20.65393,20.65393,20.31253,20.03662,19.84204,19.34216,18.75711,18.57053,18.05067,18.62197,18.5504,18.15396,19.28654,19.84039,20.27203,0,21.091595979381452
2020,19.72797,19.8301,19.73795,18.79873,18.30523,17.41329,18.20041,17.79532,17.77318,17.24979,17.23304,17.0506,16.51285,15.89036,15.57947,15.20108,15.30298,15.47859,15.38209,15.68978,16.36516,16.80049,17.05299,17.24026,18.15186,18.98584,19.81281,20.29383,20.29383,20.75265,21.54274,21.41619,21.62788,22.54368,22.72596,23.32891,23.32891,23.32891,23.32891,23.32891,23.35618,24.36279,23.99835,23.43851,23.84684,24.69212,24.48772,24.56351,25.15823,25.28288,24.82072,24.97845,25.07466,25.11681,25.17346,25.50715,26.02961,26.02961,26.02961,25.55936,25.25798,25.25798,24.73963,24.64067,24.64067,24.64067,24.64067,24.73185,25.20654,25.68445,25.78551,26.07616,25.68268,24.48192,24.12194,23.71472,23.33578,22.46316,22.22201,21.81137,21.22571,21.16707,21.08031,21.47827,20.83311,20.44707,19.88745,18.95027,18.72485,18.401,19.21355,19.19645,18.49337,18.49337,18.83527,19.18783,1,21.233622783505147
2020,18.73029,18.82399,19.01695,18.46765,17.6486,16.23653,16.50689,16.66718,16.2169,15.77439,15.43257,15.43257,14.88356,14.81527,14.81527,14.81527,14.59743,14.59505,14.78955,14.83521,15.40685,15.65775,16.4698,16.64924,17.84262,18.99145,19.67653,19.81018,19.93884,20.19518,20.64812,21.06546,21.38198,22.09061,22.40719,22.85634,23.09742,22.70632,21.68319,21.49643,21.91962,22.02229,22.30007,22.77942,22.68866,22.96881,22.86158,22.89165,23.32027,22.91737,22.91737,22.91737,22.47868,22.05911,21.78565,21.78565,21.78565,21.78565,21.78565,21.64601,21.03974,21.03974,20.81524,20.47388,20.47388,20.47388,19.98493,20.06466,19.42035,19.78132,19.39027,18.60102,18.26178,17.43881,17.43881,16.86706,16.84723,16.43502,16.25564,16.00234,15.66406,15.66406,15.50028,15.4782,15.29537,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,2,18.537153195876297
2020,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,3,15.380773608247404
2020,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,4,15.39108288659792
2020,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,5,15.401392164948435
2020,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,6,15.41170144329895
2020,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.50974,15.72341,15.74122,15.58753,15.17536,15.35189,15.81839,15.81839,15.81839,16.06981,17.38737,17.84553,18.51646,19.3861,20.46821,21.00135,21.57988,21.94073,22.32579,22.32579,22.35019,22.40578,22.70631,22.92679,22.94309,22.94309,22.94309,23.58353,23.07001,23.18126,23.04869,22.38688,22.01527,22.22622,21.88853,21.88853,21.66842,21.81684,21.81137,21.81137,21.81137,21.81137,22.08996,22.24863,22.28407,21.25217,21.42556,22.08654,22.44958,22.3511,22.17827,22.25953,22.45662,22.44979,22.5827,22.89382,23.38035,23.38035,23.72881,23.97193,23.97193,23.97193,23.89156,23.92214,23.2003,22.59628,22.45466,22.14574,21.9061,21.50272,21.50272,21.50272,21.47937,21.04943,20.86369,20.5678,19.88451,19.23927,19.35297,19.93863,19.00959,18.54998,18.9049,19.02204,18.80235,7,20.25710917525772
2020,18.54481,18.70772,19.01022,18.09064,17.31776,16.72995,17.39064,17.89773,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,18.2876,21.7666,22.583,22.59529,23.2003,23.2003,23.2003,23.23623,22.61228,21.81137,21.81137,22.01406,22.53156,22.97731,23.28989,23.97193,24.08635,25.00878,24.88267,25.03584,24.52424,24.33688,23.86905,23.86905,23.72596,23.0717,23.0717,22.67012,22.81222,21.8129,21.45128,20.93558,20.31119,19.57365,19.41315,20.08807,19.56044,19.31644,19.28811,18.92194,18.72261,8,19.800577113402056
2020,18.15899,18.49252,18.69838,17.80058,17.54169,16.9332,17.29872,16.84632,16.17848,16.17848,16.17848,15.78592,15.5869,15.5869,15.5869,15.5869,15.5869,15.5869,15.5869,15.60328,16.15276,16.15276,16.52446,16.95409,18.20543,18.85346,19.4473,20.43297,20.67965,20.67965,20.67965,20.67965,21.05142,21.03974,21.03974,21.03974,21.03974,20.62385,20.44302,20.03962,19.94362,20.55104,20.55104,20.42286,19.31769,20.10612,21.10345,20.58225,21.06352,21.477,20.97035,20.30358,20.06234,19.33654,19.93696,20.03662,19.70002,19.49648,19.49648,19.49648,19.43742,18.54621,18.80202,18.80202,18.80202,18.80202,19.0007,19.34216,19.54285,20.25292,20.78253,20.73044,20.06234,20.06234,19.84464,19.36788,19.36788,18.89917,18.69913,18.69913,18.40797,18.54481,17.99293,17.8419,17.25876,17.25876,17.02929,16.31167,15.8099,15.49176,16.30709,16.08257,15.66524,15.68978,15.68978,15.68978,9,18.45808546391753
