year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,index,averagemwh
2011,7.89019,8.15735,7.96143,6.92841,6.96403,7.46273,6.83935,6.71468,6.37627,6.18035,6.41189,5.48573,5.64603,5.68165,5.80633,5.71727,6.10911,5.87757,5.71727,6.21597,6.26941,6.44752,6.46533,6.46533,6.83935,6.94622,7.30243,7.49835,7.03527,7.96143,7.58741,7.81895,7.78333,8.28203,7.7477,7.69427,7.58741,7.10652,7.26681,7.39149,7.07089,7.72989,6.83935,7.26681,6.9106,6.85716,6.9106,7.19557,7.26681,6.76811,7.35587,6.64343,6.71468,6.41189,6.44752,5.94881,6.76811,6.00224,6.21597,6.10911,6.14473,6.10911,6.44752,6.19816,6.03787,6.44752,6.48314,6.67906,6.87497,7.07089,8.19298,7.53398,7.89019,7.39149,8.08611,7.19557,7.19557,7.10652,7.19557,6.7503,6.80373,6.87497,6.67906,6.96403,6.92841,6.67906,6.34065,6.21597,6.51876,6.89279,6.41189,6.28722,6.21597,6.30503,6.60781,6.83935,0,6.759479793814432
2011,7.10652,7.35587,6.60781,6.69687,6.18035,6.60781,6.18035,5.84195,5.71727,5.64603,5.78852,4.79111,5.53916,4.79111,4.89797,4.9336,4.75549,4.59519,5.05827,4.95141,5.25419,4.75549,5.02265,5.32543,5.5926,5.30762,5.41449,5.48573,5.71727,5.85976,5.91319,6.03787,5.91319,6.44752,5.91319,6.05568,6.28722,6.26941,5.98443,6.50095,6.14473,5.96662,6.05568,6.50095,6.57219,6.05568,5.91319,6.21597,5.91319,6.53657,6.02006,6.05568,5.78852,5.61041,6.21597,5.80633,6.21597,6.03787,6.73249,6.64343,5.98443,6.2516,6.37627,6.26941,6.14473,6.64343,6.53657,6.9106,6.60781,7.15995,7.94362,8.12173,7.94362,7.94362,7.94362,7.97925,7.71208,7.78333,7.46273,7.71208,7.58741,7.05308,7.0887,7.15995,6.50095,6.85716,6.96403,6.26941,6.53657,6.50095,6.57219,6.62562,6.99965,6.39408,7.28462,6.89279,1,6.245563711340204
2011,7.05308,7.78333,7.19557,6.96403,6.62562,6.69687,6.53657,6.19816,6.73249,5.87757,5.45011,5.53916,5.80633,5.80633,6.00224,5.68165,6.14473,6.00224,5.87757,6.00224,6.26941,6.92841,7.42711,8.51357,9.13695,9.40411,10.41933,10.81117,11.70171,11.07833,11.84419,11.54141,12.27165,11.47017,11.84419,11.70171,11.23862,12.23603,11.77295,12.20041,12.50319,12.46757,13.09095,11.84419,12.62787,12.23603,12.36071,12.16479,11.93325,12.36071,12.16479,11.61265,11.96887,12.30727,12.50319,11.96887,11.64827,11.18519,10.95365,10.98927,10.84679,10.61525,10.95365,9.83157,9.86719,9.60003,10.06311,9.95625,10.15217,9.99187,10.52619,10.45495,10.29465,10.25903,10.06311,9.72471,9.56441,9.63565,9.20819,9.52879,9.56441,8.97665,9.29725,8.74511,8.67387,8.51357,8.12173,8.08611,7.65865,8.21079,8.44233,7.71208,8.78073,7.78333,8.63825,7.89019,2,9.432074329896903
2011,7.81895,8.40671,7.81895,7.32025,7.12433,7.39149,7.46273,6.80373,6.80373,6.80373,6.66125,6.50095,6.26941,6.53657,6.26941,6.14473,6.4297,6.23379,6.89279,6.62562,7.05308,7.81895,7.85457,9.20819,10.18779,10.49057,11.70171,11.50579,11.93325,12.04011,12.04011,12.39633,11.96887,12.30727,12.43195,12.23603,12.39633,12.50319,12.30727,12.50319,12.62787,12.66349,13.01971,12.69911,12.62787,12.43195,12.39633,12.55663,12.62787,11.96887,12.39633,12.16479,12.00449,12.30727,12.30727,12.39633,11.80857,11.50579,11.84419,11.07833,10.45495,11.11395,10.61525,10.38371,10.75773,10.25903,10.41933,10.68649,10.06311,10.52619,10.29465,10.81117,10.65087,10.18779,10.45495,10.15217,9.68908,9.83157,9.10133,9.26162,9.33287,9.43973,9.20819,9.40411,9.03008,8.74511,8.78073,8.17516,8.51357,8.31765,8.21079,7.7477,7.97925,7.58741,8.31765,8.28203,3,9.818797938144328
2011,7.39149,8.05049,8.17516,7.65865,7.28462,7.85457,7.12433,7.42711,6.73249,7.0887,6.73249,6.73249,6.62562,6.99965,6.10911,6.66125,6.39408,6.30503,6.69687,7.12433,7.12433,7.7477,8.21079,9.52879,9.83157,11.04271,12.00449,11.80857,12.46757,12.59225,12.62787,12.00449,12.55663,12.89503,12.69911,12.36071,12.07573,13.01971,12.85941,13.16219,12.55663,12.16479,12.55663,12.89503,12.59225,12.82379,12.93065,12.62787,12.30727,12.12917,12.46757,12.93065,11.84419,11.84419,12.69911,12.62787,12.16479,11.93325,11.84419,10.98927,10.75773,11.27425,10.68649,10.75773,10.52619,10.38371,10.45495,10.61525,10.88241,10.98927,10.98927,10.65087,10.95365,10.45495,11.04271,10.88241,10.15217,9.92062,10.18779,9.49316,10.02749,9.68908,9.76033,9.52879,9.06571,8.94103,8.40671,8.67387,8.60262,8.63825,8.17516,8.21079,8.12173,7.71208,8.67387,8.70949,4,10.038246597938146
2011,8.12173,8.51357,8.21079,7.62303,7.55179,7.97925,7.7477,7.62303,7.32025,7.19557,6.76811,7.05308,6.76811,7.32025,6.34065,6.4297,6.4297,6.46533,6.50095,7.05308,6.89279,7.81895,8.60262,9.13695,10.45495,11.23862,11.89763,12.30727,12.59225,13.25125,13.67871,13.48279,13.35811,13.09095,13.16219,12.89503,12.66349,12.69911,12.55663,12.59225,12.62787,12.69911,12.46757,12.69911,12.66349,12.27165,11.89763,11.47017,11.04271,11.07833,10.84679,10.98927,10.91803,10.84679,11.27425,10.95365,10.49057,10.33027,9.76033,9.86719,9.52879,9.76033,9.43973,9.40411,9.20819,9.52879,9.33287,9.63565,9.36849,9.56441,9.56441,9.83157,9.76033,9.79595,10.09873,9.92062,9.49316,9.92062,9.92062,9.33287,9.63565,9.72471,9.49316,9.92062,9.63565,9.17257,8.97665,8.63825,8.40671,8.74511,8.28203,8.21079,8.37108,7.85457,8.31765,7.97925,5,9.745955463917522
2011,7.97925,8.63825,7.97925,7.58741,7.15995,7.71208,7.65865,7.23119,7.0887,6.96403,6.46533,6.73249,6.4297,6.34065,6.4297,6.19816,6.50095,6.66125,6.76811,7.0887,7.35587,8.28203,8.90541,9.86719,11.38111,12.16479,12.62787,12.73473,12.73473,13.09095,13.35811,13.16219,13.12657,12.50319,12.96627,12.93065,12.66349,12.50319,11.73733,12.23603,12.23603,12.04011,12.36071,12.30727,11.96887,11.93325,11.93325,11.30987,11.07833,11.50579,10.95365,10.33027,10.75773,10.84679,10.29465,10.52619,9.72471,9.92062,9.63565,9.68908,9.26162,9.60003,9.36849,8.94103,9.33287,9.63565,8.83416,9.03008,8.94103,8.74511,8.97665,8.90541,9.10133,9.10133,9.06571,9.06571,9.06571,8.97665,8.78073,8.47795,8.97665,8.31765,8.63825,8.74511,8.12173,7.94362,7.81895,8.31765,8.37108,7.97925,7.85457,7.65865,8.31765,7.65865,7.97925,7.81895,6,9.453847731958753
2011,7.81895,8.63825,7.42711,7.05308,7.15995,7.51616,7.35587,6.50095,6.57219,6.4297,6.10911,6.46533,6.23379,5.64603,6.07349,5.91319,6.10911,6.46533,5.87757,6.10911,6.23379,6.4297,7.0887,6.34065,6.92841,7.05308,6.80373,6.96403,7.05308,7.42711,7.35587,8.21079,7.78333,8.17516,7.89019,7.97925,8.24641,7.89019,7.12433,7.32025,7.28462,7.19557,6.80373,6.92841,6.66125,6.62562,6.50095,6.53657,5.80633,6.26941,6.19816,6.30503,6.10911,6.14473,6.07349,6.07349,6.34065,6.26941,6.4297,6.19816,6.00224,6.14473,6.66125,6.37627,6.26941,6.53657,6.64343,6.89279,7.62303,7.53398,8.24641,7.99706,8.08611,8.05049,8.0683,7.81895,8.12173,7.92581,7.46273,7.23119,7.07089,7.33806,7.23119,7.19557,7.28462,6.69687,6.83935,6.83935,6.60781,7.26681,6.57219,6.9106,7.23119,6.80373,7.33806,7.26681,7,6.945487525773189
2011,7.80114,7.92581,7.10652,7.23119,6.66125,6.64343,6.2516,6.0913,5.94881,5.73508,5.48573,5.21857,5.14733,5.28981,4.98703,5.05827,4.9336,5.05827,5.12951,5.18295,4.79111,5.18295,5.34324,5.71727,5.36106,5.94881,5.71727,5.45011,5.64603,5.71727,5.64603,6.34065,6.34065,6.41189,6.41189,6.37627,6.57219,6.50095,6.64343,6.83935,6.21597,6.10911,5.96662,5.91319,5.68165,6.34065,6.03787,6.23379,5.7707,5.87757,5.80633,6.10911,5.73508,5.52135,5.78852,5.21857,5.48573,5.94881,5.75289,5.57479,5.75289,5.87757,5.71727,6.07349,6.14473,5.94881,6.73249,6.60781,6.73249,8.01487,7.89019,7.85457,7.65865,8.31765,7.89019,8.05049,8.03268,8.03268,7.30243,7.33806,7.89019,7.30243,7.39149,7.10652,7.10652,6.85716,6.92841,6.73249,6.73249,6.73249,6.83935,6.67906,7.03527,7.03527,7.35587,7.07089,8,6.36803948453608
2011,6.9106,7.69427,7.10652,6.87497,6.60781,6.99965,6.9106,6.96403,6.26941,6.26941,5.82414,6.53657,6.10911,5.91319,5.91319,5.68165,6.00224,6.03787,5.82414,6.34065,6.7503,7.30243,7.81895,8.47795,10.09873,10.66868,11.55922,11.87981,12.25384,12.30727,12.85941,12.53881,12.37852,11.95106,11.98668,11.57703,11.14957,11.98668,12.00449,11.6839,11.54141,11.61265,11.87981,11.70171,12.11135,12.53881,12.27165,11.80857,12.04011,12.14698,12.11135,11.95106,11.93325,12.30727,12.37852,11.45235,11.45235,10.66868,10.56181,10.33027,10.16998,10.09873,9.86719,9.79595,9.40411,9.43973,9.93844,9.24381,9.83157,10.82898,10.25903,10.29465,10.22341,10.27684,10.09873,10.33027,10.36589,9.99187,9.90281,9.31506,10.06311,9.20819,9.5466,9.5466,9.36849,9.35068,8.83416,8.2286,8.44233,8.47795,8.54919,8.46014,8.26422,7.85457,8.8876,8.90541,9,9.623589690721651
2011,8.62043,8.31765,8.35327,8.15735,7.72989,8.05049,7.65865,7.39149,7.03527,6.96403,7.12433,6.96403,6.80373,6.99965,6.80373,6.7503,7.17776,6.76811,6.80373,7.55179,7.53398,8.01487,8.12173,9.47535,11.11395,11.34549,12.80598,12.3429,12.8416,12.27165,12.30727,12.53881,12.80598,12.6813,12.50319,12.27165,12.04011,12.3429,12.04011,12.04011,12.57444,13.0019,12.69911,13.09095,13.23344,12.93065,12.89503,12.66349,12.43195,13.10876,12.89503,12.41414,12.43195,12.48538,12.6813,12.8416,12.8416,11.91544,11.55922,11.45235,10.33027,10.95365,10.40152,10.75773,10.43714,10.59744,10.13435,10.45495,10.66868,10.95365,10.66868,10.29465,10.59744,10.29465,10.36589,10.06311,10.52619,9.79595,9.83157,9.86719,10.0453,9.60003,9.60003,9.47535,9.60003,8.97665,8.94103,8.62043,8.47795,8.78073,8.42452,8.38889,8.74511,8.31765,8.42452,8.17516,10,10.20825175257732
